Informasi nama, keahlian, jadwal, dan gaya bimbingan dosen

Nama Dosen Pembimbing	Keahlian	Jadwal Bimbingan	Gaya Bimbingan
Liliana S.T. M.Eng. Ph.D.	Computer Vision, Virtual Reality Game Development, Aritificial Intelligence.	Senin 16.00 - 18.00   Selasa 16.00 - 18.00	Liliana merupakan seorang dosen pembimbing yang tidak hanya fokus pada keperluan akademis mahasiswa bimbingan. Beliau cenderung juga membantu mahasiswa secara psikologis. Beliau siap mendengar keluh kesah mahasiswa bimbingan sekaligus memberikan solusi untuk itu.
Dr. Andi Wijaya S.Kom. M.T.	Data Science, Machine Learning, Big Data Analytics, Cloud Computing.	Jadwal Bimbingan: Rabu 14.00 - 16.00  Jumat 10.00 - 12.00	Dr. Andi sangat detail dan teliti dalam membimbing mahasiswa. Beliau selalu memastikan bahwa setiap mahasiswa memahami konsep dasar sebelum melanjutkan ke topik yang lebih kompleks. Beliau juga sangat terbuka untuk diskusi dan memberikan banyak referensi bacaan.
Prof. Budi Santoso S.T. M.Sc. Ph.D.	Network Security, Cybersecurity, Cryptography, Ethical Hacking.	Jadwal Bimbingan: Senin 09.00 - 11.00  Kamis 13.00 - 15.00	Prof. Budi dikenal sebagai dosen yang sangat disiplin dan tegas. Beliau menekankan pentingnya etika dalam penelitian dan selalu mendorong mahasiswa untuk berpikir kritis dan analitis. Beliau juga sering memberikan tantangan praktis untuk menguji pemahaman mahasiswa.
Ir. Citra Dewi M.T. Ph.D.	Software Engineering, Agile Development, Development Operational, Mobile Application Development.	Jadwal Bimbingan: Selasa 15.00 - 17.00  Jumat 14.00 - 16.00	Ir. Citra sangat mendukung dan selalu berusaha menciptakan lingkungan yang nyaman bagi mahasiswa. Beliau sering menggunakan pendekatan kolaboratif dalam bimbingan dan mendorong mahasiswa untuk bekerja dalam tim. Beliau juga sangat responsif terhadap pertanyaan dan masalah yang dihadapi mahasiswa.
Dr. Dedi Kurniawan S.T. M.Eng.	Artificial Intelligence, Natural Language Processing, Computer Vision, Robotics.	Jadwal Bimbingan: Rabu 10.00 - 12.00  Kamis 16.00 - 18.00	Dr. Dedi sangat inovatif dan selalu mendorong mahasiswa untuk berpikir out-of-the-box. Beliau sering memberikan proyek-proyek penelitian yang menantang dan relevan dengan perkembangan teknologi terkini. Beliau juga sangat mendukung pengembangan soft skills mahasiswa.
Prof. Eko Prasetyo S.Kom. M.Sc. Ph.D.	Web Development, Internet of Things, Cloud Computing, Blockchain Technology.	Jadwal Bimbingan: Senin 13.00 - 15.00  Kamis 09.00 - 11.00	Prof. Eko sangat berorientasi pada hasil dan selalu mendorong mahasiswa untuk mencapai target penelitian mereka. Beliau sering memberikan feedback konstruktif dan membantu mahasiswa dalam merencanakan langkah-langkah penelitian mereka. Beliau juga sangat mendukung penggunaan teknologi terbaru dalam penelitian.
Ir. Resmana Lim M.Eng.	Electrical Engineering, Internet of Things, Computer Architecture, Computer Theory	Jadwal Bimbingan: Senin 13.00 - 15.00  Kamis 09.00 - 11.00	 



Informasi publikasi dosen

Nama Dosen	Judul Paper	Abstrak/Preview	Jenis	Tahun	Tag
	A robust method for VR-based hand gesture recognition using density-based CNN	Many VR-based medical purposes applications have been developed to help patients with mobility decrease caused by accidents, diseases, or other injuries to do physical treatment efficiently. VR-based applications were considered more effective helper for individual physical treatment because of their lowcost equipment and flexibility in time and space, less assistance of a physical therapist. A challenge in developing a VR-based physical treatment was understanding the body part movement accurately and quickly. We proposed a robust pipeline to understanding hand motion accurately. We retrieved our data from movement sensors such as HTC vive and leap motion. Given a sequence position of palm, we represent our data as binary 2D images of gesture shape. Our dataset consisted of 14 kinds of hand gestures recommended by a physiotherapist. Given 33 3D points that were mapped into binary images as input, we trained our proposed density-based CNN. Our CNN model concerned with our input characteristics, having many blank block pixels, single-pixel thickness shape and generated as a binary image. Pyramid kernel size applied on the feature extraction part and classification layer using softmax as loss function, have given 97.7% accuracy.	Journal	2020	Hand gesture recognition, 2D image gesture representation, Density-based CNN, Binary image learning, VR-based physical treatment
	The Influence of Empowerment and Quality of Work Life to Career Plateau with Work Satisfaction as Intervening Variable	This study is aimed to find out the influence of empowerment and quality of work life to work satisfaction. It is also to find out the role of work satisfaction as intervening variable in the influence of empowerment and quality of work life to career plateau. The population in this study is 128 workers of Labor Social Insurance Administration Organization, the sample 110 is taken from population used for statistic analysis. Regression model is chosen to reveal direct and indirect influence. The result of this study is well managed empowerment and quality of work life are able to build expected work satisfaction. It is also found that qualified empowerment, quality of work life, and work satisfaction hold important role in reducing employee career plateau. Through Sobel test, this study has proven that work satisfaction becomes anchor or intervening variable. It works between empowerment and career plateau, and between quality of work life and career plateau.	Konferensi	2019	empowerment, quality of work life, work satisfaction, career plateau
	Implementation of Javanese Text to Speech using MaryTTS Engine	Indonesia is a country consisting of many ethnic groups with each having different cultures and languages. One of the tribes in Indonesia is the Javanese, where most of the Javanese live on the island of Java. The Javanese have their culture along with its language and character. In this research, Javanese text to speech has been implemented, and as interface, word processor application has been developed. This word processor application is used to convert the writing in Roman character into Java character and also as input for the text to speech engine. MaryTTS has been used as text to speech engine for Javanese language. From experimental results, the accuracy of word processor for conversion reached 100% while the accuracy of Javanese text to speech reached 98.1%.	Konferensi	2018	Javanese language, MaryTTS
	Segmentation of Hanacaraka characters using double projection profile and Hough transform	"In doing segmentation of Hanacaraka character, Javanese ancient character, one of Indonesian’s ethnic ancient character in Java island, the difficulties that occur is the inconsistency of the space between lines, the size of the character and the thickness. Inconsistencies between row spacing and letter size are caused by the letters of the pair, the last vowel and consonant letters in one phoneme. While the thickness is inconsistent due to the writing style of the Hanacaraka itself.
Image Preprocessing needs to be done to get input without skew. To improve skewed text documents, we used Hough transforms to predict the edges of the text area. After that, to segment the line and then continue with segmentation of each character, horizontal projection profile is used and then proceed with vertical."	Konferensi	2018	"Segmentation, Hanacaraka character, Projection profile
Hough transform, Image processing"
	Accelerated Ray Tracing dengan Bounding Volume Hierarchy dan Compute Unified Device Architecture	Ray tracing is a technique in computer graphics that produced image by traversing ray from eye to every pixels on screen, and then the intersection checks between ray and objects are done. Ray tracing can produce a photorealistic image, but needs a long time to do the computations. One of the ways to shorten the computation time is by reducing the number of intersection checks between ray and objects. One of the popular methods is Bounding Volume Hierarchy (BVH).	Journal	2017	Ray tracing, BVH, CUDA, GPU, GPU ray tracing.
	Game cerita alkitab untuk sekolah minggu	Sekolah minggu merupakan suatu wadah untuk anak belajar dan guru mengajar dalam gereja. Gereja melalui sekolah minggu menyampaikan Firman Tuhan kepada anak-anak usia batita, taman kanak-kanak, dan kelas 1 hingga kelas 6 SD. Sekarang ini, penyampaian materi dalam dunia pendidikan sudah banyak menggunakan multimedia, akan tetapi penyampaian Firman Tuhan dalam beberapa sekolah minggu masih ada yang belum dapat mengunakan multimedia dan kesulitan menemukan multimedia yang bisa dengan mudah dioperasikan.	Journal	2017	Multimedia Interaktif, Adobe Flash, Game Edukasi, Cerita Alkitab, Sekolah Minggu.
	Aplikasi Resep Kuliner Khas Indonesia Berbasis Flash	"Di masa sekarang ini keberadaan kuliner asli khas Indonesia banyak tergeser dengan kuliner asing dari luar negri. Hal ini menyebabkan banyaknya anak muda jaman sekarang yang tidak mengenal makanan khas Indonesia, bahkan yang paling parah, dapat tidak mengenali makanan khas dari daerah asal orang tersebut. Kemajuan teknologi merupakan salah satu penyebab utama masuknya kuliner asing ke negeri ini. Hal ini menyebabkan perlunya pelestarian kembali kuliner khas Indonesia. Aplikasi ini akan menyediakan lima menu dari setiap provinsi di Indonesia untuk ditampilkan kepada pengguna. Pengguna dapat memilih sebuah provinsi, lalu aplikasi akan menampilkan lima jenis kuliner khas dari provinsi tersebut. Jika pengguna memilih kategori sebelum memilih sebuah provinsi, maka aplikasi akan menampilkan makanan dari provinsi terpilih sesuai dengan kategori yang telah dipilih oleh pengguna. Pada aplikasi ini juga terdapat fitur pencarian untuk mencari makanan berdasarkan namanya.
Berdasarkan pengujian pada Bab 5, desain aplikasi yang ada masih belum memuaskan bagi para pengguna. Namun informasi yang ditampilkan, menurut hasil kuesioner dari lima pengguna yang berpotensi menggunakan aplikasi ini termasuk baik. Juga pengguna merasa kemudahan dalam penggunaan aplikasi ini termasuk baik. Aplikasi ini juga menurut survei dari lima pengguna tergolong cukup menjawab kebutuhan"	Journal	2017	Resep, Kuliner, Flash
	Aplikasi Deteksi Orang Jatuh dengan Memanfaatkan Kinect	This paper describes method for fall detection, because fall is a serious problem and often resulting to injury, which can endanger the safety of the person. Therefore, falling detection is crucially needed.	Journal	2017	Kinect, Microsoft Kinect SDK, skeleton, jatuh, deteksi jatuh
	Aplikasi Deteksi Nilai Uang pada Mata Uang Indonesia dengan Metode Feature Matching	"Uang kertas tidak dapat dikenali dan dibedakan oleh tunanetra. Oleh karena itu pada tulisan ini, dibuat aplikasi untuk mengenali nilai uang kertas yang dapat berjalan pada smartphone Android dengan kamera, untuk membantu orang tersebut.
Rupiah Indonesia (IDR) digunakan sebagai data sampel. Aplikasi ini tidak membutuhkan komunikasi apapun dengan server dan semua komputasi yang diperlukan dilakukan pada handphone itu sendiri. Pada aplikasi ini, pengguna dapat mengambil gambar uang dengan melakukan double tap, kemudian hasilnya akan disuarakan. Sistem ini menggunakan algoritma visi komputer, seperti deteksi feature, deskripsi feature, dan matching. Pengaplikasian dari metode ORB, SURF, dan SIFT diterapkan untuk mencocokkan gambar yang diambil dan gambar template. Untuk memperbaik hasil dari pengenalan uang kertas, homography digunkana untuk menyaring hasil dari feature matching."	Journal	2017	Pengenalan mata uang, deteksi uang kertas, pencocokkan feature, deteksi nilai uang Indonesia, aplikasi untuk orang buta
	Perancangan dan Pembuatan Aplikasi Penghubung antar Bahasa	"Communication is a process or a way to deliver a message from one person to another to achieve a certain goal. But often communications between individuals or groups are limited by differences of languages. Languages differences make it hard for people to convey an urge, convey intentions and goals. Until now, the world’s progress on technology has not given the way to bridge this issue as its main goal.
With the development of scientific study of technology that explore languages and communication, it is possible that differences in languages will not become an obstacle for people to communicate with one another. To solve this problem, an application is made to act as a translator between 2 person’s conversations. This application uses Android Studio and Java as its language."	Journal	2017	
	Aplikasi Rehabilitasi dan Terapi Tangan untuk Pasien Stroke dengan menggunakan Kinect	"Stroke merupakan salah satu penyakit yang sangat sering dijumpai saat ini. Stroke terjadi pada saat aliran darah ke otak terhenti akibat dari pembuluh darah yang tersumbat ataupun pecah. Penyebab stroke bisa bermacam–macam, seperti rokok, darah tinggi, dan beberapa hal lainnya. Contoh dampak dari stroke yang paling sering ditemui ialah hemiplegia yaitu ketidakmampuan untuk menggerakkan satu atau lebih anggota badan dari salah satu sisi badan
Untuk dapat mencapai pulih total maupun pulih dengan sedikit keterbatasan, dibutuhkan rehabilitasi baik fisik maupun psikis. Proses rehabilitasi yang harus dilakukan di rumah sakit atau klinik menjadi penghalang bagi pasien stroke untuk mendapatkan penanganan rehabilitasi [6]. Selain biaya yang cukup mahal, mereka susah untuk berpergian karena keterbatasan gerak anggota tubuh mereka. Untuk mewujudkan sebuah proses rehabilitasi di rumah tanpa perlu adanya seorang terapis yang mendampingi setiap saat, dapat digunakan Kinect sebagai alat bantu dalam melakukan aktifitas rehabilitasi. Hal ini bersifat lebih mudah daripada pasien harus pergi ke klinik atau rumah sakit di tengah kota."	Journal	2017	Kinect, Microsoft Kinect SDK, skeleton, jatuh, deteksi jatuh
	Pembuatan Aplikasi Mobile Augmented Reality dengan Scene Recognition Memanfaatkan Convolutional Neural Network	The development of smartphone technology and the need of people to gather information of places open chance to utilize augmented reality to help people get the information of a scene and see the scene through camera at the same time. The sensor-based AR system depends on GPS which is not always available. This research uses AR system using convolutional neural network for scene recognition.	Journal	2017	Convolutional Neural Network, Scene Recognition, Mobile Augmented Reality, Arsitektur Neural Network
	Media Informasi Tanaman Obat dan Penggunaannya	Indonesia memiliki kekayaan varietas tumbuhan, dimana sebanyak 2500 jenis tumbuhan diantaranya memiliki khasiat sebagai obat. Menteri Kesehatan RI juga memaparkan bahwa sebesar 49, 53% penduduk Indonesia mengkonsumsi jamu atau herbal setiap hari. Melihat fakta tersebut, pemerintah Indonesia berkomitmen kuat salah satunya dengan usaha mengintegrasikan tanaman obat kedalam sistem kesehatan nasional.	Journal	2017	
	Pembuatan Aplikasi Crowdsource Untuk Jasa Rumah Tangga Berbasis Android	The search process for domestic services have tended to be difficult because of the lack of centralized information media. The process of offering services performed by service providers is also difficult because of the absence of promotional media that can be accessed by service customers. Based on these requirements, crowdsource application was made for the services of domestic workers that can be a source of information as well as to help connecting service customers with service providers.	Journal	2017	
	Aplikasi Pendeteksi Citra yang diambil dari Kamera Mobile Device untuk Menghasilkan Ensiklopedia Fauna Berbasis Android	Menemukan hewan baru terkadang menjadi sesuatu yang baru bagi manusia. Apabila hewan baik jinak maupun buas ditemukan, maka biasanya pencarian informasi tentang hewan tersebut akan dilakukan. Namun, pengetahuan akan hewan tersebut masih cenderung minim. Pertanyaan muncul tentang pengetahuan akan buas atau tidaknya fauna tersebut. Tetapi, pengetahuan tersebut baru datang setelah hewan tersebut melakukan penyerangan. Oleh karena itu, solusi yang diberikan adalah aplikasi yang menghasilkan informasi yang selalu baru dengan teknologi pendeteksi citra. Sehingga, hanya dengan memotret, informasi sudah bisa didapat dengan mudah dan cepat. Aplikasi juga dapat dijalankan pada sistem operasi Android Jellybean API 17 dan seterusnya	Journal	2017	
	Optimization of Units Movement in Turn-Based Strategy Game	Each game has an artificial intelligence that is used to fight the player, which will provide more challenge. But in some strategy games, unit movements are usually done using simple considerations. For example the rest of unit lives, unit strength, and so forth. In this study, a turn based strategy game is designed using genetic algorithm to control the movement of the enemy armies.	Journal	2016	
	Pembuatan Aplikasi Simulasi Ujian Praktik Pengambilan Surat Izin Mengemudi Kendaraan Roda Empat	Perkembangan video game saat ini telah berkembang pesat. Teknologi terbaru memungkinkan pengguna untuk merasakan berada di dalam dunia virtual dari video game tersebut. Simulation Game merupakan salah satu genre yang dapat mengajarkan suatu hal pada pengguna. Simulation Game seperti driving simulator dapat digunakan sebagai sarana latihan sebelum menghadapi kondisi nyata dengan kendaraan sesungguhnya.	Journal	2016	Virtual Reality, Simulasi Mengemudi, Steering Wheel, Unity
	Pembuatan Kebun Binatang Virtual Untuk Pembelajaran Mengenai Binatang Liar	"Seiring dengan metode pembelajaran yang makin berkembang ke arah pembelajaran interaktif, teknologi yang menunjang pembelajaran interaktif juga ikut berkembang, mulai dari penggunaan aplikasi di komputer, dan berkembang ke perangkat mobile. Salah satu teknologi yang sedang berkembang saat ini adalah teknologi virtual reality. Saat ini teknologi virtual reality dapat digunakan dengan mudah dan dengan peralatan yang mudah ditemukan juga.
Sistem yang dibuat meliputi proses pembuatan game world berupa kebun binatang, binatang virtual yang akan mengisi kebun binatang, dan player yang dapat dikendalikan oleh user. Game world merupakan dunia yang akan dijelajahi oleh user dalam hal ini adalah sebuah kebun binatang, dan di dalam kebun binatang tersebut terdapat beberapa binatang virtual yang memiliki desain state machine untuk mengatur perilaku dan kebiasaan masingmasing binatang"	Journal	2016	
	Aplikasi Media Pembelajaran Pengenalan Rambu Lalu Lintas Menggunakan Flash	Rambu lalu lintas merupakan bagian dari perlengkapan jalan yang penting yang memuat lambang, huruf, angka, kalimat, dan bisa perpaduan di antaranya guna membantu pengguna jalan. Namun pada kenyatannya masih banyak terjadi kecelakaan lalu lintas karena kurangnya pemahaman rambu lalu lintas baik yang disebabkan oleh pengendara bermotor maupun pejalan kaki. Banyak media informasi tentang rambu lalu lintas yang tediri dari buku, iklan, dan penyuluhan dari kepolisian, tetapi media tersebut dianggap kurang efektif, kurang menarik, dan kurang interaktif. Oleh karena itu dibuatlah suatu aplikasi media pembelajaran menggunakan Adobe Flash agar dapat membantu masyarakat menjadi lebih tertarik untuk memahami rambu lalu lintas. Aplikasi ini memiliki informasi rambu, soal-soal ujian teori SIM, game ujian praktek SIM, dan game simulasi berkendara. Dari hasil pengujian, aplikasi ini dapat membantu user dalam memahami rambu lalu lintas dan user tertarik untuk menggunakan kembali aplikasi ini. Pada proses kemudahan dalam menggunakan aplikasi, tidak semua user langsung mengerti cara menggunakan.	Journal	2016	"Multimedia Interaktif, Game Edukasi, Adobe
Flash, Rambu Lalu Lintas."
	Aplikasi Pendeteksi Jauh Dekat Posisi Suatu Objek Dengan Menggunakan Kinect For Windows	Perkembangan teknologi telah digunakan dalam berbagai macam aspek kehidupan manusia. Salah satu aspek yang mengalami perkembangan pesat dalam teknologi yaitu dalam dunia video game. Virtual reality menjadi salah satu fokus pengembangan yang dilakukan pengembang game untuk meningkatkan kualitas gameplay. Dengan menggunakan virtual reality, user dapat berinteraksi secara lebih nyata dengan game yang dimainkan. Salah satu contoh teknologi yang digunakan dalam dunia virtual reality ini adalah dengan menggunakan teknologi kinect. Oleh karena itu diteliti sebuah aspek yang dimiliki kinect yaitu depth sensor untuk menghasilkan reaksi yang berbeda berdasarkan gerakan kedalaman. Tujuan dari penelitian ini dimaksudkan untuk menggunakan gerakan kedalaman yang ditangkap kinect sebagai input yang diaplikasikan pada sebuah game virtual reality.	Journal	2016	Virtual reality, Game, Kinect Unity
	Pembuatan Aplikasi Augmented Reality Pembelajaran Hewan	Augmented Reality (AR) is a new information media that is being developed nowadays. ARis a technology that combines 2D or 3D virtual objectsá in a real environment around us. AR can be used as animal learning media that can attract children attention. AR caná bring interactive learning efficient. Because children not only learn in theory only, but children are also available to see animal objects in 3D.	Journal	2016	
	Media Pembelajaran Global Warming	Computer based learning media is one of the media has an important role in learning. Learning media will be attractive when packaged through interactive media, such as interactive media created in paper manufacture" instructional media global warming". The advantage gained is that it can increase knowledge, generally educate people to be more concerned about the environment, and also can be a means of entertainment.	Journal	2016	
	Pembuatan Website Wiki Bangunan Bersejarah Indonesia	Indonesia adalah salah satu Negara yang memiliki banyak bangunan bersejarah yang diakui oleh dunia. Beberapa contoh bangunan bersejarah yang terkenal adalah candi Borobudur, candi prambanan, benteng peninggalan Belanda dan Jepang, dan lainlain. Disamping banyaknya bangunan bersejarah tersebut, tidak ada media yang sungguh-sungguh mewadahi informasi tentang bangunan bersejarah. Maka dari itu, diperlukan sebuah situs yang bisa menjadi media dimana orang-orang dapat saling membagikan informasi yang dimiliki tentang bangunan bersejarah sekaligus menjadi media komunikasi antar pengguna situs dalam menanggapi informasi yang ada.	Journal	2016	
	Game Real-Time Strategy dengan menggunakan Artificial Intelligence Quantified Judgement Model dan Backpropagation Neural Network	Real-Time Strategy (RTS) Game is a quite popular video game genre. The uniqueness of RTS Games is that it is a Strategy Game where time will still continue for all the players. This creates situations where the player must determine their strategies in a matter of seconds. To get a good gameplay experience, then we would need enemies for the player. The way we could do that is to create an AI that could take into account the mechanics of the game. This thesis is aimed to broaden our knowledge on how to develop AI for RTS games.	Journal	2016	RTS, Real-Time Strategy Game, Artificial Intelligence, Quantified Judgement Model, Neural Network Backpropagation.
	Pembuatan Puzzle Adventure Game Menggunakan Unity	Puzzle Adventure Game adalah game yang memiliki bentuk permainan menjelajahi suatu wilayah atau tempat, dimana untuk menyelesaikan suatu cerita pada tempat itu player harus dapat menyelesaikan berbagai tantangan yang sering kali berbentuk teka-teki dan semacamnya.	Journal	2016	
	Pembuatan Media Pembelajaran Virus Influenza Berbasis Flash	Pelajaran virus infuenza merupakan topik pelajaran yang sangat menarik untuk dipelajari. Dalam proses mempelajarinya, dibutuhkan tingkat pemahaman yang tinggi karena virus influenza teruss bermutasi. Salah satu cara untuk memahaminya adalah melalui media pembelajaran virus influenza.	Journal	2016	Multimedia, Media Pembelajaran Virus Influenza Berbasis Flash.
	Pembuatan Sistem Administrasi dan Keuangan Berbasis Responsibility Center di Gereja Kebangkitan Kalam Allah Indonesia Jemaat Tenggilis Mejoyo	"Gereja Kebangkitan Kalam Allah Indonesia (GKKA) merupakan organisasi non profit berbasis responsibility center yang telah berdiri sejak 1984. GKKA yang berlokasi di Jalan Raya Tenggilis Mejoyo 87 Surabaya memiliki kebutuhan akan teknologi. Kondisi saat ini gereja mengalami kesulitan dalam pengelolaan administrasi dan keuangan di masing-masing responsibility center.
Pada skripsi ini akan dibuat sistem administrasi dan keuangan untuk membantu menyelesaikan masalah yang terjadi di GKKA. Sistem administrasi untuk membantu menyelesaikan masalah dalam pencatatan anggota gereja, karyawan, dan aset gereja. Sistem keuangan akan membantu dalam pencatatan keuangan di masing-masing responsibility center. Pencatatan keuangan pada sistem ini menggunakan metode cash basis. Sistem ini berupa aplikasi website dengan bahasa pemrograman PHP dan menggunakan database MySQL."	Journal	2016	 Cash Basis, Jurnal, Keuangan, Responsibility Center
	Pembuatan Website Museum Virtual Majapahit	Kerajaan Majapahit memiliki sangat banyak peninggalan sejarah. Lokasi penyimpanan peninggalan tersebut seringkali berada pada lokasi yang berbeda satu dengan yang lainnya. Sehingga sangat sulit untuk mempelajari sejarah kerajaan majapahit berdasarkan peninggalan-peninggalan yang ada. Salah satu cara untuk mengamati atau mempelajari peninggalan kerajaan majapahit adalah melalui website virtual.	Journal	2016	Website virtual, kerajaan majapahit, peninggalan majapahit.
	Aplikasi Game Life Simulation Peternakan Domba Menggunakan Metode Fuzzy	"Banyak orang yang berkeinginan untuk mempelajari dunia peternakan dengan lebih dalam, bukan hanya sekedar mengetahui nama dan bentuk hewan tersebut. Akan tetapi, tidak semua orang bisa bepergian setiap hari ke tempat peternakan untuk belajar mengenai siklus hidup hewan tersebut. Salah satu cara yang dapat digunakan untuk memberikan pengalaman belajar mengenai siklus hidup makhluk hidup dengan cara yang paling cepat adalah melalui game. Salah satu genre game yang dapat digunakan untuk memberikan aspek hiburan dan edukasi pada pemainnya adalah life simulation. Sebagai game life simulation, data yang digunakan asli dari penelitian terhadap domba. Untuk memberikan nuansa yang lebih nyata, game ini memiliki fuzzy state machine untuk menentukan perilaku yang akan dilakukan oleh hewan ketika sedang didekati lawan jenisnya.
Dengan membuat simulasi domba dengan interface tiga dimensi, maka player akan merasakan pengalaman bermain yang lebih mirip dengan dunia nyata. Hal ini akan memberikan kesenangan lebih kepada para player. Game ini dibuat menggunakan Unity Engine dan scripting menggunakan C# dengan MonoDevelop. Dari hasil pengujian, sebagian kinerja AI domba dipengaruhi oleh perubahan input-an yang diperlukan untuk perhitungan fuzzy dan sebagian besar dipengaruhi oleh interaksi player di dalam game."	Journal	2016	
	Aplikasi game strategi menggunakan metode algoritma genetika untuk pembuatan pasukan	"Salah satu cara yang dapat digunakan untuk melakukan pendekatan edukasi yang tidak membuat bosan adalah dengan menggunakan game. Salah satu genre game yang dapat digunakan untuk memberikan aspek hiburan dan edukasi pada pemainnya adalah game turn-based strategy. Sebagai game turn-based strategy, Battle of Batavia memerlukan AI lawan yang dapat mengambil keputusan untuk dapat membuat dan menggerakkan pasukan dengan baik agar membuat game lebih menarik untuk dimainkan.
Untuk membuat AI yang dapat berpikir dengan baik, dibuatlah suatu sistem AI yang dapat berpikir dengan baik di dalam game. Sistem yang dibuat menggunakan metode algoritma genetika dalam mengambil keputusan dalam membuat dan menggerakan pasukan. Aplikasi yang dibuat untuk skripsi ini adalah game Battle of Batavia itu sendiri."	Journal	2016	Kecerdasan buatan, Algoritma Genetika, Turn-based strategy game.
	Student Media Sosial Application for Acdemic and Non Acdemic Activities	"Media sosial merupakan sebuah media alternatif dalam pertukaran informasi yang baik bagi mahasiswa Universitas Kristen Petra dalam meningkatkan hasil belajar mahasiswa yang maksimal. Pada umumnya mahasiswa Universitas Kristen Petra menggunakan Lentera untuk mendapatkan informasi mengenai perkuliahan. Sejauh ini Lentera belum menyediakan sarana yang bisa digunakan mahasiswa untuk mendapatkan informasi mengenai organisasi dan informasi seputar kampus. Sehingga, mahasiswa menggunakan aplikasi media sosial lainnya, seperti BBM, Line, dan lainnya sebagai sarana alternatif dalam bertukar informasi organisasi dan informasi seputar kampus.
Melalui penelitian ini, dibuatlah sebuah aplikasi media sosial untuk mahasiswa Universistas Kristen Petra yang dapat mempermudah mahasiswa dalam mendapatkan informasi dan bertukar informasi, mengenai: informasi perkuliahan, informasi organisasi, dan informasi seputar kampus. Pembuatan aplikasi dilengkapi dengan fitur posting, grup dan chatting untuk mempermudah mahasiswa dalam bertukar informasi dengan cepat. Fitur chatting dibuat menggunakan WebSocket dan fitur posting dibuat menggunakan AJAX."	Journal	2016	 Aplikasi Media Sosial, Posting, Grup, Chatting, WebSocket.
	Implementasi Rule Base System dan Fuzzy Logic artifical intelligence pada game kartu capsa	Di era globalisasi pada saat ini, ilmu pengetahuan dan teknologi berkembang sangat cepat, khususnya pada media hiburan lebih spesifiknya pada dunia game. Pada zaman sekarang game tidak hanya digunakan sebagai media hiburan semata, namun juga dapat dijadikan alternatif dalam dunia pekerjaan, pendidikan, bahkan olahraga. Pada dunia game, kecerdasan buatan atau AI merupakan suatu faktor yang tidak dapat dipisahkan. Dengan metode yang tepat dan aturan tertentu maka AI dapat berjalan seperti layaknya manusia mengerjakan suatu perkerjaan. Sehingga tidak hanya pada dunia game saja, AI juga dapat digunakan dalam bidang lain yang memerlukan sistem komputasi AI seperti dalam bidang perkembangan teknologi.	Journal	2016	Permainan, Kartu, Capsa, Big2, Unity5, C#, Rule Base, Fuzzy.
	Media interaktif pembelajaran kandungan gizi dalam sayuran serta manfaat dalam tubuh manusia	"Sayur merupakan makanan yang sangat baik bagi tubuh manusia, beragam jenis sayuran yang berada dipasaran membuat sayur banyak memiliki kandungan dan manfaat yang yang berbeda-beda, masyarakat banyak mengerti tentang sayur tapi bayak yang kurang memahami apa efek samping dari kelebihan mengkonsumsi sayuran tertentu. Sudah banyak aplikasi yang beredar mengenai sayuran pada saat ini, namun tampilan gambar dan pengolahan suara sebagai narasi kurang jelas.
Aplikasi ini akan memberikan pelajaran tetang kandungan dan manfaat, efek samping, dan proses pengolahan secara interaktif dan memiliki gambar, suara, musik, dan simulasi yang menarik, sehingga pengguna dapat langsung terlibat dalam proses belajar. Materi dalam media interaktif ini diambil dari 13 jenis sayuran yang akan dijelaskan kandungan dan manfaat, efek samping, dan pengolahan. untuk materi kandungan dan manfaat, dan efek samping disediakan animasi sedangkan untuk materi pengolahan berupa simulasi. Tersedia juga tes untuk mengukur pemahaman pengguna terhadap materi yang telah dipelajari. Aplikasi ini dibuat dengan menggunakan Adobe Flash CS6."	Journal	2016	Multimedia, interaktif, kandungan sayur, manfaat sayur, efek samping sayur, pengolahan sayur.
	Perencanaan dan Pembuatan Media Interaktif untuk Simulasi Water Treatment dalam Bentuk Animasi	"Air merupakan elemen terpenting yang kita gunakan dalam kehidupan sehari-hari. Meski begitu, air sering kurang mendapatkan perhatian yang lebih dari masyarakat. Padahal bila dipikirkan, hampir semua aktifitas manusia memerlukan air bersih. Banyak daerah-daerah di Indonesia yang kekurangan stok air bersih. Bahkan tanpa kita sadari, air mengambil peran yang penting dalam kesehatan manusia.
Aplikasi ini akan mengemas proses dari penjernihan air dan juga air limbah dengan interaktif dan menarik. Selain membahas tentang penjernihan air, aplikasi ini juga terdapat informasi tentang asal air limbah di sekitar kita. Untuk menambah informasi bagi para pengguna dari aplikasi ini, aplikasi ini juga menyediakan informasi mengenai bakteri-bakteri yang mempunyai hubungan dengan air. Aplikasi dibuat dengan menggunakan Adobe Flash CS5"	Journal	2016	Multimedia, interaktif, adobe flash, air, perawatan air.
